runs;repetition;fleet_size;learned_performance;other_cars
100;1;2;6796.18;[]
100;1;3;3429.46;[5983.16]
100;1;4;2682.11;[8389.01, 3859.31]
100;1;5;2753.54;[8455.1, 3573.44, 2660.37]
100;1;6;3071.88;[9572.15, 3232.39, 2665.07, 2353.53]
100;2;2;2601.9;[]
100;2;3;3604.55;[2228.74]
100;2;4;2628.31;[2252.15, 3874.5]
100;2;5;3705.48;[2732.47, 3529.4, 2794.68]
100;2;6;2887.03;[2501.14, 3456.92, 2846.22, 3408.6]
100;3;2;2306.67;[]
100;3;3;2443.12;[4101.04]
100;3;4;2721.64;[2313.37, 2963.54]
100;3;5;5637.49;[3658.46, 2695.74, 2787.9]
100;3;6;2566.15;[3205.72, 2391.02, 2880.84, 5634.6]
10000;1;2;2526.86;[]
10000;1;3;2742.58;[2561.15]
10000;1;4;2709.67;[2566.72, 2767.6]
10000;1;5;2846.31;[2586.87, 2771.11, 2704.99]
10000;1;6;3109.67;[2576.59, 2830.78, 2748.54, 2864.95]
10000;2;2;2558.8;[]
10000;2;3;2736.19;[2595.59]
10000;2;4;2937.08;[2623.85, 2725.65]
10000;2;5;2797.16;[2624.97, 2720.34, 2937.09]
10000;2;6;2989.61;[2611.33, 2703.19, 2882.19, 2818.38]
10000;3;2;2613.27;[]
10000;3;3;2758.01;[2628.71]
10000;3;4;2907.53;[2638.39, 2797.95]
10001;1;2;2579.88;[]
10001;1;3;2728.71;[2467.11]
10001;1;4;2796.84;[2476.46, 2895.15]
10001;1;5;2848.37;[2641.61, 2654.64, 2773.74]
200;1;2;2538.46;[]
200;1;3;3083.61;[2527.76]
200;1;4;2760.72;[2419.5, 3196.65]
200;1;5;2807.71;[2532.29, 3029.15, 3003.38]
200;1;6;3643.07;[2460.47, 3221.62, 2695.06, 3705.39]
200;2;2;2450.28;[]
200;2;3;3626.09;[2257.55]
200;2;4;5385.47;[2507.83, 3499.63]
200;2;5;3101.34;[2537.04, 4557.39, 5422.29]
200;2;6;3041.79;[2219.47, 3227.13, 4670.35, 3122.45]
200;3;2;2915.95;[]
200;3;3;2881.61;[2731.13]
200;3;4;2681.5;[2514.03, 2909.56]
200;3;5;2784.03;[3057.23, 3136.55, 2850.38]
200;3;6;2947.31;[3162.95, 3611.18, 2645.23, 3012.15]
20000;1;2;2491.15;[]
20000;1;3;2669.4;[2484.22]
20000;1;4;2916.17;[2499.4, 2659.78]
